1633716000000,54293.88000000,54600.00000000,54233.43000000,54489.91000000,615.80226000,1633717799999,33544636.24370750,21595,363.44521000,19795677.67683840,0
1633717800000,54489.91000000,54655.59000000,54467.52000000,54501.00000000,605.83849000,1633719599999,33045569.89180030,19552,267.18748000,14576978.28822240,0
1633719600000,54500.99000000,54672.98000000,54479.00000000,54539.69000000,481.15083000,1633721399999,26263525.52645670,16923,232.03516000,12664180.87041020,0
1633721400000,54539.69000000,54700.00000000,54251.31000000,54686.48000000,664.91924000,1633723199999,36246696.68993810,22744,311.74735000,16997293.04359120,0
1633723200000,54686.48000000,54774.35000000,54400.00000000,54468.95000000,541.40403000,1633724999999,29555014.91644200,26787,249.60223000,13625439.71814060,0
1633725000000,54468.96000000,54475.16000000,53778.00000000,54001.70000000,1372.72149000,1633726799999,74193826.48342010,48089,522.87022000,28272368.27714790,0
1633726800000,54001.70000000,54331.69000000,53878.18000000,54278.72000000,759.31147000,1633728599999,41045692.96962950,32902,422.13413000,22819732.32566570,0
1633728600000,54278.72000000,54278.72000000,54010.07000000,54162.20000000,445.30797000,1633730399999,24105924.70813050,20259,176.97723000,9578935.50649650,0
1633730400000,54162.20000000,54264.00000000,54035.62000000,54155.11000000,461.17078000,1633732199999,24964043.72071430,22008,217.33246000,11765263.13604160,0
1633732200000,54160.06000000,54250.00000000,54035.28000000,54060.05000000,399.43342000,1633733999999,21631760.05661680,19237,186.31181000,10090577.47122320,0
1633734000000,54060.05000000,54136.60000000,53814.28000000,53899.99000000,542.79332000,1633735799999,29302352.94779910,17040,228.77475000,12350256.27630710,0
1633735800000,53900.00000000,54031.27000000,53775.83000000,53951.43000000,518.79384000,1633737599999,27953073.16392210,15579,283.29057000,15264962.20332730,0
1633737600000,53955.67000000,54229.99000000,53661.67000000,54152.84000000,1053.89463000,1633739399999,56850784.25446400,30023,461.26895000,24892033.56474320,0
1633739400000,54152.84000000,54298.35000000,54111.00000000,54264.17000000,568.07874000,1633741199999,30791826.63058030,17872,269.89839000,14630299.85033630,0
1633741200000,54264.16000000,54307.71000000,53855.00000000,53865.37000000,597.41014000,1633742999999,32312257.03775440,19247,235.44419000,12734938.72100780,0
1633743000000,53865.37000000,54129.34000000,53849.99000000,54007.55000000,497.20854000,1633744799999,26828167.54798410,15455,281.23086000,15172772.33717910,0
1633744800000,54007.55000000,54097.34000000,53841.41000000,54056.19000000,393.42422000,1633746599999,21217400.20473370,19309,183.51192000,9897573.73067560,0
1633746600000,54056.19000000,54197.76000000,54041.80000000,54156.38000000,461.09430000,1633748399999,24956425.12178040,17663,240.04115000,12991822.11741090,0
1633748400000,54156.38000000,54627.00000000,54110.00000000,54514.50000000,814.77380000,1633750199999,44316277.14895160,22530,458.68423000,24949071.73999290,0
1633750200000,54514.51000000,54699.00000000,54492.62000000,54560.58000000,499.29234000,1633751999999,27264792.05544280,16720,272.17709000,14862726.49016170,0
1633752000000,54562.58000000,54730.28000000,54479.23000000,54705.01000000,583.81996000,1633753799999,31875715.62667080,15758,284.09531000,15511491.31485970,0
1633753800000,54705.01000000,54715.00000000,54609.40000000,54684.62000000,422.49658000,1633755599999,23095309.94410960,12528,201.60308000,11020113.88257980,0
1633755600000,54684.63000000,54741.09000000,54384.27000000,54468.45000000,487.57701000,1633757399999,26596011.36450910,15719,205.95362000,11234208.91829660,0
1633757400000,54468.45000000,54630.42000000,54415.20000000,54597.78000000,378.02635000,1633759199999,20595920.11772000,12633,149.74491000,8158943.29516110,0
1633759200000,54597.78000000,55100.00000000,54590.15000000,55000.61000000,1323.20345000,1633760999999,72660723.13065940,35937,807.32596000,44339708.21204020,0
1633761000000,55000.60000000,55100.00000000,54675.90000000,54837.89000000,680.12448000,1633762799999,37328695.94047120,23102,306.71069000,16838257.19204100,0
1633762800000,54837.90000000,55000.00000000,54715.75000000,54918.25000000,423.20431000,1633764599999,23207945.23861280,18572,217.10069000,11904674.83202860,0
1633764600000,54918.24000000,55050.00000000,54801.01000000,54917.55000000,547.75045000,1633766399999,30076753.50678040,19314,288.65319000,15849621.63882580,0
1633766400000,54917.56000000,55062.11000000,54732.30000000,54739.62000000,628.36331000,1633768199999,34508373.41205020,20129,342.71437000,18823913.07318210,0
1633768200000,54739.62000000,54784.62000000,54523.23000000,54728.45000000,596.83014000,1633769999999,32612539.79454180,19307,292.95188000,16009339.54210550,0
1633770000000,54728.45000000,54778.92000000,54490.55000000,54554.96000000,826.26186000,1633771799999,45117438.65781650,24901,408.64759000,22315794.61257230,0
1633771800000,54555.00000000,54919.59000000,54536.83000000,54907.45000000,1667.67406000,1633773599999,91289788.72179880,40464,843.73634000,46187590.22875910,0
1633773600000,54907.45000000,55007.97000000,54644.81000000,54644.87000000,1394.78555000,1633775399999,76497050.44314900,42364,682.70425000,37445302.89899320,0
1633775400000,54644.86000000,54889.00000000,54566.31000000,54888.99000000,1549.52147000,1633777199999,84782859.04399830,46769,754.10505000,41261503.22662780,0
1633777200000,54888.99000000,55340.30000000,54779.20000000,55050.01000000,2470.13005000,1633778999999,135982237.54406720,67920,1349.07822000,74278343.88408930,0
1633779000000,55050.01000000,55270.52000000,54784.10000000,54792.68000000,1746.98011000,1633780799999,95949365.05075170,51428,882.32714000,48460869.52030920,0
1633780800000,54792.68000000,55150.00000000,54792.68000000,55120.47000000,1752.65048000,1633782599999,96377929.07293900,52378,944.00404000,51912114.74792630,0
1633782600000,55120.47000000,55166.44000000,54942.14000000,54979.26000000,1501.91087000,1633784399999,82680772.48987970,43412,735.13151000,40469975.88149850,0
1633784400000,54979.26000000,55082.71000000,54926.49000000,54958.57000000,1370.68757000,1633786199999,75426036.01445320,39587,692.96391000,38132503.73746390,0
1633786200000,54958.56000000,55489.00000000,54930.01000000,55242.20000000,2347.50540000,1633787999999,129681322.97445240,71655,1225.70757000,67713718.60552260,0
1633788000000,55242.19000000,55314.20000000,55045.88000000,55147.00000000,1559.88028000,1633789799999,86041116.82432510,48448,815.87623000,45002055.87673350,0
1633789800000,55147.00000000,55296.54000000,55068.01000000,55136.84000000,1565.53002000,1633791599999,86363075.11863130,43204,756.77702000,41748329.84341760,0
1633791600000,55136.83000000,55177.05000000,55017.05000000,55102.58000000,1222.21662000,1633793399999,67343994.07881550,37368,610.68463000,33649012.46460740,0
1633793400000,55102.57000000,55146.20000000,54867.20000000,54977.29000000,1654.24237000,1633795199999,90978024.69932150,44698,763.50237000,41990995.11160780,0
1633795200000,54977.29000000,55125.00000000,54851.35000000,54994.38000000,1665.11155000,1633796999999,91572978.85216560,47351,829.19207000,45601489.60064460,0
1633797000000,54994.38000000,55060.64000000,54674.07000000,54801.16000000,1923.92865000,1633798799999,105458784.16375060,48853,894.09465000,49011006.97956690,0
1633798800000,54801.15000000,54932.98000000,54726.19000000,54889.49000000,1246.87960000,1633800599999,68387406.33795790,36313,628.30228000,34460723.62152590,0
1633800600000,54891.95000000,54945.73000000,54744.54000000,54914.05000000,1306.95176000,1633802399999,71721183.01681000,37087,654.15505000,35897815.66013520,0
1633802400000,54914.05000000,55149.96000000,54744.90000000,54831.59000000,1650.61440000,1633804199999,90557772.90029680,43222,815.56957000,44746606.01481950,0
1633804200000,54831.58000000,54917.06000000,54738.66000000,54900.00000000,1391.82519000,1633805999999,76321349.80925800,35972,692.38491000,37967951.50215420,0
1633806000000,54897.24000000,54964.52000000,54750.04000000,54759.03000000,1026.54843000,1633807799999,56322787.78600960,28022,522.63145000,28675207.95893690,0
1633807800000,54759.03000000,54853.14000000,54592.21000000,54656.81000000,1232.15981000,1633809599999,67433251.87575940,32006,602.24206000,32960200.41427110,0
1633809600000,54656.81000000,54656.82000000,54323.00000000,54469.72000000,1590.34313000,1633811399999,86608022.16799720,44675,746.81571000,40667102.20441020,0
1633811400000,54469.72000000,54669.59000000,54377.82000000,54663.83000000,1292.70500000,1633813199999,70472648.05092710,37846,656.37438000,35782893.39249070,0
1633813200000,54663.83000000,54784.99000000,54550.01000000,54720.22000000,1236.08037000,1633814999999,67562011.04272510,37980,641.44386000,35063433.54811300,0
1633815000000,54725.87000000,54863.18000000,54683.66000000,54848.94000000,1113.04712000,1633816799999,60948304.78725160,35900,548.80785000,30051574.78303200,0
1633816800000,54848.94000000,54969.12000000,54760.10000000,54854.34000000,1101.69219000,1633818599999,60428405.33383110,31572,555.48751000,30468668.19602550,0
1633818600000,54854.34000000,54936.12000000,54752.71000000,54896.41000000,1087.32426000,1633820399999,59624789.10782440,29316,546.93322000,29991854.04467300,0
1633820400000,54896.39000000,55056.37000000,54837.99000000,55004.02000000,1281.48301000,1633822199999,70426207.53411560,37335,677.15338000,37214896.86080470,0
1633822200000,55004.02000000,55165.00000000,54858.09000000,54949.72000000,1443.83620000,1633823999999,79409959.11669670,39619,710.80319000,39093294.33460910,0
1633824000000,54949.72000000,55154.42000000,54806.95000000,55108.49000000,1869.12796000,1633825799999,102726067.46735980,42740,947.51745000,52077136.59149790,0
1633825800000,55108.48000000,55199.00000000,54886.11000000,54905.27000000,1591.93449000,1633827599999,87639728.35380270,40736,755.51210000,41592938.77886220,0
1633827600000,54905.27000000,54953.82000000,54467.00000000,54556.41000000,2124.05065000,1633829399999,116063382.61014320,55662,1024.40151000,55974828.17338080,0
1633829400000,54556.96000000,54582.00000000,54381.12000000,54382.83000000,1748.39332000,1633831199999,95231841.03935530,46119,854.62205000,46549361.41395660,0
1633831200000,54382.83000000,54590.79000000,54080.00000000,54438.97000000,1790.68396000,1633832999999,97389474.11958160,48134,841.63217000,45785797.25903720,0
1633833000000,54438.97000000,54768.78000000,54424.42000000,54633.52000000,1593.95712000,1633834799999,87069749.20282680,42928,802.83504000,43853041.67950860,0
1633834800000,54633.51000000,54866.41000000,54576.55000000,54784.36000000,1372.98767000,1633836599999,75126088.31309720,33567,678.86424000,37146671.07041940,0
1633836600000,54784.36000000,55178.00000000,54780.00000000,55049.15000000,1697.41916000,1633838399999,93241050.86418220,39327,870.30486000,47809622.01269030,0
1633838400000,55049.16000000,55248.87000000,55039.01000000,55085.35000000,1879.55113000,1633840199999,103600490.95949970,48509,990.13828000,54577677.41798980,0
1633840200000,55085.35000000,56000.00000000,54850.00000000,55873.06000000,3498.53014000,1633841999999,193939948.80668580,115556,2066.79775000,114598384.93347780,0
1633842000000,55873.05000000,56074.43000000,55389.17000000,55522.30000000,2477.99294000,1633843799999,138070479.30467030,72704,1309.90143000,73002665.79956550,0
1633843800000,55522.30000000,55771.81000000,55420.00000000,55651.73000000,1682.87475000,1633845599999,93576827.32790230,43234,873.03097000,48546001.33682730,0
1633845600000,55651.72000000,55840.00000000,55490.01000000,55684.76000000,1742.39160000,1633847399999,97002473.37619070,40665,877.11187000,48830032.02077370,0
1633847400000,55684.76000000,55695.59000000,55500.00000000,55607.80000000,1336.06235000,1633849199999,74259356.60245580,34818,666.08758000,37021704.96948140,0
1633849200000,55607.80000000,55766.54000000,55411.86000000,55547.05000000,1477.86426000,1633850999999,82150735.58900780,37394,718.21527000,39927926.44573640,0
1633851000000,55547.05000000,55700.02000000,55464.25000000,55668.81000000,1333.84128000,1633852799999,74141563.08545220,35989,683.37713000,37985749.35015100,0
1633852800000,55668.81000000,55850.00000000,55598.50000000,55812.01000000,1673.51007000,1633854599999,93213152.76053130,42557,870.58632000,48492557.45252570,0
1633854600000,55812.01000000,55928.00000000,55518.06000000,55564.19000000,1528.50957000,1633856399999,85121479.31924560,42036,788.95703000,43936224.55720970,0
