1631777400000 48363.41000000 48411.72000000 48327.54000000 48343.52000000 569.86192000 1631779199999 27567628.85587350 17116 270.61454000 13091127.20433200 0
1631779200000 48343.52000000 48356.01000000 48049.19000000 48096.99000000 954.63877000 1631780999999 46036766.05865700 25558 420.33625000 20270980.57448300 0
1631781000000 48096.98000000 48192.40000000 48014.61000000 48083.19000000 768.17152000 1631782799999 36959098.92919070 20556 351.59776000 16916913.34610550 0
1631782800000 48083.19000000 48276.41000000 47988.76000000 48226.98000000 668.16733000 1631784599999 32143590.97493840 19555 334.97379000 16116083.70475750 0
1631784600000 48226.98000000 48229.62000000 47839.24000000 47905.98000000 733.16382000 1631786399999 35229053.01537200 21401 280.57790000 13483442.02096430 0
1631786400000 47905.98000000 48000.00000000 47727.44000000 47788.90000000 832.73693000 1631788199999 39880968.12615850 23179 370.29502000 17734093.81168330 0
1631788200000 47788.89000000 48050.00000000 47623.00000000 47822.45000000 954.90415000 1631789999999 45677532.17633610 26962 470.27037000 22497438.94128170 0
1631790000000 47822.44000000 48045.77000000 47734.55000000 48041.92000000 761.06306000 1631791799999 36456342.60969420 22548 348.39171000 16689808.49191970 0
1631791800000 48041.92000000 48043.65000000 47888.74000000 47895.01000000 554.03020000 1631793599999 26560970.98729420 20204 224.77988000 10775885.56235500 0
1631793600000 47895.01000000 48049.00000000 47743.52000000 47879.78000000 1026.41562000 1631795399999 49174899.62893580 27827 488.88975000 23422505.96047940 0
1631795400000 47879.79000000 48165.00000000 47843.22000000 48037.00000000 807.63722000 1631797199999 38815839.40962290 23757 420.32412000 20198864.58462060 0
1631797200000 48037.00000000 48097.03000000 47907.20000000 47994.59000000 563.71102000 1631798999999 27058054.12733390 23093 276.43274000 13269332.20588310 0
1631799000000 47994.58000000 47996.21000000 47449.05000000 47454.55000000 1898.88138000 1631800799999 90461440.40898650 46980 872.94359000 41583558.62911180 0
1631800800000 47458.70000000 47645.73000000 47211.35000000 47570.25000000 2087.18209000 1631802599999 99022562.55275900 54285 1067.76525000 50663042.29899830 0
1631802600000 47568.94000000 47715.00000000 47517.00000000 47588.84000000 773.29540000 1631804399999 36818814.69332750 27685 363.28005000 17297998.09269020 0
1631804400000 47588.83000000 48194.80000000 47416.70000000 48090.82000000 1630.21168000 1631806199999 77923944.30393340 42194 825.00025000 39436623.83102730 0
1631806200000 48090.83000000 48226.38000000 47858.00000000 48020.24000000 914.56854000 1631807999999 43930484.65596180 28888 441.98133000 21231990.32413850 0
1631808000000 48020.24000000 48166.66000000 47940.48000000 47958.43000000 898.70103000 1631809799999 43187459.97494560 27777 418.52121000 20113498.60057220 0
1631809800000 47958.43000000 48090.95000000 47916.39000000 47950.00000000 582.81653000 1631811599999 27975710.70588990 22346 265.01190000 12720781.44649090 0
1631811600000 47950.01000000 48030.00000000 47858.97000000 47866.10000000 415.59812000 1631813399999 19930744.51227870 18615 214.26018000 10274948.86194730 0
1631813400000 47866.09000000 47901.22000000 47368.08000000 47397.43000000 1276.92079000 1631815199999 60797952.54594600 32133 593.49373000 28256777.06546080 0
1631815200000 47397.43000000 47598.57000000 47269.00000000 47445.32000000 1159.81920000 1631816999999 55026986.38692240 28073 600.85305000 28505041.58752050 0
1631817000000 47445.32000000 47655.99000000 47417.96000000 47655.99000000 554.74374000 1631818799999 26366347.10809400 17410 301.02274000 14308770.94770380 0
1631818800000 47655.99000000 47720.47000000 47586.54000000 47654.46000000 485.62228000 1631820599999 23140355.84139430 21264 242.00675000 11531966.65713110 0
1631820600000 47654.45000000 47736.00000000 47420.36000000 47430.01000000 467.72244000 1631822399999 22279659.57938850 18041 229.30668000 10924966.77435060 0
1631822400000 47430.00000000 47537.25000000 47241.67000000 47348.55000000 734.14108000 1631824199999 34803642.13626230 22067 367.73635000 17435245.82664870 0
1631824200000 47348.55000000 47442.25000000 47021.10000000 47146.62000000 1499.57595000 1631825999999 70794380.58207790 40197 711.86974000 33609936.46459580 0
1631826000000 47146.62000000 47545.94000000 47085.57000000 47533.23000000 814.78417000 1631827799999 38588608.69897180 26697 444.37292000 21047053.86984780 0
1631827800000 47533.22000000 47690.11000000 47470.61000000 47669.50000000 558.27851000 1631829599999 26547924.84833290 19142 257.20154000 12232819.64583960 0
1631829600000 47669.51000000 47774.89000000 47569.28000000 47580.21000000 483.20146000 1631831399999 23028551.06117860 18067 238.75840000 11378223.15702450 0
1631831400000 47580.21000000 47672.89000000 47524.92000000 47638.42000000 310.28351000 1631833199999 14775277.00609090 14458 155.64385000 7411691.02481980 0
1631833200000 47638.41000000 47842.00000000 47575.15000000 47790.13000000 420.11139000 1631834999999 20056141.37805250 16297 233.15339000 11130751.33185210 0
1631835000000 47790.12000000 47942.41000000 47726.66000000 47737.82000000 450.49626000 1631836799999 21534836.21438640 15473 232.72547000 11125085.78922940 0
1631836800000 47737.81000000 47880.00000000 47680.00000000 47702.43000000 422.20781000 1631838599999 20168652.57016320 19595 211.14595000 10086045.80339300 0
1631838600000 47702.42000000 47760.91000000 47499.04000000 47499.99000000 706.22168000 1631840399999 33645726.46501220 21370 327.58926000 15608648.08718210 0
1631840400000 47499.99000000 47995.50000000 47450.44000000 47946.80000000 981.62039000 1631842199999 46886044.51769730 23365 505.02459000 24119113.40177580 0
1631842200000 47946.80000000 48094.26000000 47946.79000000 48028.01000000 717.63102000 1631843999999 34457180.51568310 20017 389.94443000 18722562.84940340 0
1631844000000 48028.02000000 48076.43000000 47808.10000000 47808.96000000 495.90110000 1631845799999 23756074.70747240 17199 242.39515000 11611236.97317920 0
1631845800000 47808.96000000 47861.06000000 47728.00000000 47744.27000000 334.33233000 1631847599999 15980170.61730450 13636 143.39777000 6854898.03652670 0
1631847600000 47744.27000000 48000.01000000 47715.35000000 47982.91000000 349.59906000 1631849399999 16731385.82651550 15743 178.95176000 8566761.56966000 0
1631849400000 47982.92000000 48069.99000000 47831.47000000 47899.83000000 483.85942000 1631851199999 23193192.07161930 17701 249.84115000 11976618.79559020 0
1631851200000 47899.83000000 47960.52000000 47741.66000000 47943.25000000 651.07251000 1631852999999 31156873.13280270 20713 324.16767000 15513429.23825210 0
1631853000000 47943.26000000 48132.82000000 47909.92000000 48071.87000000 576.18606000 1631854799999 27660233.74705460 21006 320.27008000 15376899.37380250 0
1631854800000 48071.14000000 48150.00000000 47940.12000000 47990.07000000 558.21993000 1631856599999 26829852.88777250 23332 293.37750000 14100996.15432090 0
1631856600000 47990.08000000 48076.01000000 47950.00000000 48044.84000000 419.71699000 1631858399999 20152580.42606720 19847 215.29754000 10337601.32708860 0
1631858400000 48040.18000000 48080.00000000 47821.67000000 47864.65000000 556.60217000 1631860199999 26661579.62058660 19616 216.91283000 10389919.17838360 0
1631860200000 47864.65000000 48099.62000000 47809.84000000 48057.62000000 682.39189000 1631861999999 32704566.66276270 20152 333.04268000 15963138.56616670 0
1631862000000 48057.62000000 48130.00000000 47853.10000000 47899.91000000 557.31130000 1631863799999 26758557.18665460 20419 259.70068000 12468780.89538220 0
1631863800000 47899.92000000 47982.93000000 47652.51000000 47719.73000000 713.71082000 1631865599999 34138372.58820180 20907 376.26840000 18000579.22356410 0
1631865600000 47719.73000000 47962.86000000 47644.36000000 47928.06000000 725.32122000 1631867399999 34688047.35455740 24337 358.63658000 17151922.78301730 0
1631867400000 47928.05000000 47986.78000000 47809.10000000 47915.56000000 516.68976000 1631869199999 24762533.83358720 19953 212.38077000 10179021.64244070 0
1631869200000 47915.57000000 47989.20000000 47777.77000000 47890.12000000 584.63792000 1631870999999 27985749.67758770 22219 231.77152000 11093864.25978390 0
1631871000000 47890.13000000 47913.92000000 47700.00000000 47720.99000000 747.64802000 1631872799999 35727558.99144010 24690 317.62826000 15177681.81141740 0
1631872800000 47721.00000000 47782.24000000 47483.00000000 47583.16000000 1077.01671000 1631874599999 51301227.42269450 35821 482.36472000 22982916.09534140 0
1631874600000 47583.15000000 47656.93000000 47324.87000000 47454.40000000 1424.97936000 1631876399999 67654997.57270150 36052 629.53785000 29885007.25796760 0
1631876400000 47454.40000000 47789.87000000 47372.80000000 47632.00000000 999.03217000 1631878199999 47526851.98396050 26539 569.44490000 27095805.21336390 0
1631878200000 47630.22000000 47652.28000000 47278.90000000 47403.56000000 1192.88767000 1631879999999 56579777.28098930 33256 542.41833000 25724657.94814740 0
1631880000000 47403.56000000 47529.35000000 47222.13000000 47487.68000000 1432.17722000 1631881799999 67812006.59603620 37901 829.13395000 39256727.81700840 0
1631881800000 47484.75000000 47526.61000000 47350.24000000 47464.92000000 575.18913000 1631883599999 27279119.36585180 22044 291.33932000 13816985.11452180 0
1631883600000 47464.92000000 47464.92000000 47126.10000000 47200.65000000 813.64912000 1631885399999 38492680.60627910 22044 345.27625000 16336545.89712290 0
1631885400000 47200.65000000 47450.00000000 47173.35000000 47240.34000000 745.44295000 1631887199999 35291513.75354030 19601 326.45417000 15452702.03752470 0
1631887200000 47240.33000000 47563.98000000 47214.93000000 47450.50000000 776.01621000 1631888999999 36799709.87349050 22434 424.07739000 20109150.54123880 0
1631889000000 47450.49000000 47513.36000000 47311.01000000 47489.37000000 448.15931000 1631890799999 21244108.46450820 15365 184.42404000 8743083.55977230 0
1631890800000 47489.36000000 47595.03000000 47425.85000000 47506.03000000 502.68964000 1631892599999 23880446.01573290 13762 242.27202000 11509279.52343480 0
1631892600000 47506.04000000 47656.35000000 47448.43000000 47527.52000000 583.86551000 1631894399999 27749189.17017580 18920 252.50729000 12002107.78482820 0
1631894400000 47527.52000000 47650.04000000 47353.69000000 47610.21000000 682.51732000 1631896199999 32415544.33184290 20763 339.88859000 16143404.46737390 0
1631896200000 47610.21000000 47730.00000000 47582.15000000 47619.14000000 588.17911000 1631897999999 28025974.70776260 17463 279.24652000 13305895.50392430 0
